Eselon 1,Tempat tinggal,hari bekerja non WFH per bulannya,hari ideal bekerja non WFH seminggu,Lokasi melaksanakan WFH,lama bekerja ketika WFH sehari,jumlah rapat online paralel (multi zoom) sehari,improve-gaya komunikasi atasan,improve-sarana prasarana pendukung kerja,improve-pengaturan jam kerja,improve-beban kerja,improve-pengelolaan kinerja pegawai,adv-manajemen keuangan lebih baik,adv-fokus meningkatkan kompetensi,adv-kesempatan belajar,adv-hubungan dg rekan kerja lebih baik,adv-komunikasi dg keluarga dekat lebih baik,adv-quality time dg keluarga inti,adv-terlibat dengan komunitas,adv-lebih mengenal lingkungan tempat tinggal,adv-waktu menekuni hobi,adv-kualitas ibadah / kehidupan spiritual,adv-pola hidup lebih sehat,harapan peningkatan implementasi FWS,gender,age,masa_kerja_tahun,masa_kerja_bulan,kode_wilayah_ktp
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,2 hari,Tempat lain,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Setuju,Sangat Setuju,Netral,Tidak Setuju,Netral,Netral,Netral,Tidak Setuju,Setuju,Netral,Tidak Setuju,Tidak Setuju,Setuju,Netral,"Terlalu banyak waktu digunakan untuk zoom/youtube seminar, sosialisasi, rapat, brain storming, coaching clinic dll, sehingga pekerjaan di luar itu seperti penyusunan laporan, mengerjakan kertas kerja, membuat surat, naskah wawancara bahkan pelatihan dll dikerjakan di luar jam kantor. Sepertinya banyak waktu dirumah padahal bagi  keluarga kita cuma ada, tapi apakah be present? apakah available? belum tentu. ",wanita,33,11,12,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Saya sangat senang dengan adanya E-learnimng selama ada WFH dan WFO unruk bisa menambah ilmu / pekerjaan,pria,52,28,9,
Sekretariat Jenderal,Kos,di bawah 10 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,"Harapan saya adala semoga onsep FWS bisa diterapkan perlahan-lahan di Kemenkeu agar pegawai dapat beradaptasi dengan budaya kerja baru ini secara bertahap serta dapat menyesuaikan pola work-life balance pegawai agar lebih leluasa bekerja di masa depan.
Terima kasih.",pria,23,3,0,
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Netral,Netral,Netral,Netral,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Saya harap FWS nanti dapat lebih fleksibel daripada FWS saat ini dengan ditingkatkan juga awareness pegawai terkait hak dan kewajiban saat FWS sehingga muncul rasa tanggung jawab diri dan kepercayaan dari atasan. ,wanita,23,2,0,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,"Kejelasan jam kerja. komitmen perihal jam kerja dimulai dari jam 07.00 WIB dan berakhir jam 17.00 WIB.

Dipertimbangkan Realitas suatu beban kerja/ suatu kerjaan yang diberikan, idealnya dapat dilakukan brp lama. ",pria,34,10,11,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,4 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Semoga bisa menjadikan pegawai lebih sejahtera,pria,54,33,10,327501
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Netral,Netral,Netral,Netral,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,-,wanita,33,11,12,330219
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,"Kedepan semoga lebih baik, sehingga Kementerian Keuangan lebih maju",wanita,36,14,11,
Badan Pendidikan dan Pelatihan Keuangan,Menumpang (orangtua/ saudara/lainnya),di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Setuju,Setuju,agar dengan adanya FWS semoga menambah kwalitas kita dalam segala hal,pria,44,16,11,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,-,pria,32,11,0,
Badan Pendidikan dan Pelatihan Keuangan,Menumpang (orangtua/ saudara/lainnya),di bawah 10 hari kerja,0 hari,Tempat lain,< 6 jam 25 menit,> 2	,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju,Dibebaskan,pria,28,3,11,317503
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,,wanita,29,8,2,
Badan Pendidikan dan Pelatihan Keuangan,Menumpang (orangtua/ saudara/lainnya),di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Sangat Setuju,Netral,Netral,Setuju,Tidak Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,semakin banyak kantor vertikal kemenkeu yang dapat digunakan bersama atau coworking space,pria,33,14,1,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Netral,Sangat Setuju,Sangat Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Setuju,Sangat Setuju,"Perlu harmonisasi jadwal kegiatan mulai dari tingkat Kementerian hingga level unit paling bawah terkait kegiatan yang melibatkan pegawai sehingga tidak terjadi penumpukan kegiatan pada waktu yang sama. Akibatnya pegawai harus mengikuti beberapa kegiatan dalam waktu yang sama, sehingga terkadang menjadi kurang fokus.",pria,47,23,9,
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,FWS is a must,pria,33,11,11,330208
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Netral,sosialisasi dilaksanakan secara masif,wanita,52,24,9,
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,4 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,< 2 ,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,"semoga implementasi FWS bisa terlaksana sesegera mungkin. dan untuk WFHB bisa dipercepat dgn durasi waktu non WFHB sebulan saja agar pegawai tidak burn out terlalu lama
terima kasih",wanita,23,2,11,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,.,pria,32,10,11,
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,1 hari,Tempat lain,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Netral,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,"Percuma FWS tapi jam kerja tidak fleksibel dan beban kerja bertambah jauh. Jam 8 sampai jam 17 dituntut untuk sigap bekerja, tapi lewat jam 5 sampai malam tidak jarang harus tetap bekerja juga. Bahkan di weekend. 

Tolong kalau bisa, dibuat aturan agar para pimpinan juga melihat jam kerja dalam memberikan penugasan. Jangan karena dianggap bisa kerja dari rumah, jadi tidak kenal waktu dalam memberikan tugas. Kalau seperti ini, lebih baik sperti zaman dulu saat kerja di kantor. Kerja jam 8 sampai 5 sore, setelah itu bisa fokus pada keluarga.",pria,29,7,0,111111
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Netral,Netral,Netral,Netral,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,-,wanita,33,14,1,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Netral,Netral,Netral,Netral,Netral,Tidak Setuju,Netral,Tidak Setuju,Netral,Netral,"clarity is king.
multitasking is myth.",pria,33,10,12,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Netral,Netral,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,semoga FWS dapat diterapkan dengan kelonggaran dengan tetap memperhatikan target dan capaian kinerja,pria,32,10,11,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Setuju,Tidak Setuju,Setuju,Netral,Netral,Netral,Tidak Setuju,Setuju,Netral,"apabila suami istri bekerja di kemenkeu dan rapat online di malam hari setelah jam kerja, sepertinya akan mengganggu keharmonisan rumah tangga. terima kasih.",pria,35,14,2,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,NWOW menjadi harapan baru bagi pegawai Kemenkeu untuk memacu diri lebih produktif di era disruptif,wanita,34,11,12,330225
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,< 2 ,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Netral,Sangat Setuju,Sangat Setuju,Netral,Setuju,Setuju,Sangat Setuju,Netral,-,pria,28,3,11,130606
Sekretariat Jenderal,Kos,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Sangat Setuju,Netral,Tidak Setuju,Netral,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Semoga bisa FWS seterusnya,pria,38,15,10,
Sekretariat Jenderal,Kos,di bawah 10 hari kerja,0 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,> 2	,Tidak Setuju,Sangat Setuju,Tidak Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,,pria,25,3,10,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,,wanita,33,11,12,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,< 6 jam 25 menit,< 2 ,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,,pria,53,22,9,
Badan Pendidikan dan Pelatihan Keuangan,Menumpang (orangtua/ saudara/lainnya),di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Tidak Setuju,Netral,Netral,Netral,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Netral,-,wanita,31,11,0,167106
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,4 hari,Homebase,< 6 jam 25 menit,< 2 ,Netral,Setuju,Setuju,Setuju,Setuju,Netral,Netral,Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Kedepanya semoga lebih baik,wanita,46,23,9,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,4 hari,Homebase,< 6 jam 25 menit,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,,wanita,48,28,11,
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,"semoga segera diterapkan WFHB agar kepadatan jakarta berkurang dan ekonomi semakin merata
",pria,33,12,0,111111
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Tidak Setuju,Sangat Setuju,Tidak Setuju,"menyediakan fasilitas jaringan yang baik, terutama kuota internet, karena FWS menambah beban biaya pengeluaran bulanan",pria,32,10,12,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Netral,Netral,Netral,Netral,Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Boleh WFH from homebase bagi pegawai yang kerja di luar kota,pria,47,28,10,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Tempat lain,> 6 jam 25 menit ,> 2	,Netral,Netral,Sangat Setuju,Sangat Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Tidak Setuju,oke,wanita,36,12,11,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,> 2	,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Netral,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,perlu dikaji jam kerja efektif,pria,34,14,11,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Netral,,pria,30,8,2,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,"batasi secara tegas jam kerja. jika terpaksa lewat dari jam kerja, berikan kompensasi lembur",pria,34,14,1,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Netral,Setuju,Sangat Setuju,Netral,Netral,Setuju,Setuju,Setuju,GWS dapat diimplementasilan dengan baik,wanita,26,3,11,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Setuju,Netral,Netral,Setuju,Netral,Netral,Setuju,Setuju,Sangat Setuju,,pria,32,9,1,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,"harapan E-learning Implementasi FWS di lanjut, teima kasih",pria,42,22,9,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,-,pria,32,10,12,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Setuju,Setuju,"Implementasi sudah bagus, hanya berharap pegawai mengisi My task sesuai dengan apa yang dikerjakan",pria,33,11,0,
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,2 hari,Tempat lain,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Sangat Setuju,Setuju,Setuju,Netral,Netral,Setuju,Netral,Setuju,Netral,Netral,Netral,Netral,Netral,Setuju,--,pria,33,7,9,
Sekretariat Jenderal,Kos,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Semoga pelaksanaan FWS benar-benar dapat diimplementasikan kepada semua pegawai.,pria,55,36,9,
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Tidak Setuju,Netral,Netral,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,-,pria,36,10,12,111111
Sekretariat Jenderal,Kontrak,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,xx,wanita,30,8,1,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral,Sangat Setuju,Netral,Semoga semakin baik kedepannya,pria,30,8,1,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Sangat Setuju,Setuju,Adanya FWS jadi lebih flexsibel hanya saja waktu keluarga dan bekerja terasa tidak ada jeda.,wanita,44,19,0,
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Setuju,Netral,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Netral,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,ruang bekerja bersama yang dekat dengan tempat tinggal akan sangat diapresiasi,pria,32,10,12,111603
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Netral,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Tidak Setuju,Setuju,Setuju,FWS bukan berarti siap berkerja 24 jam,pria,30,8,2,
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Netral,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Tidak Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,-,wanita,25,3,11,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju,Setuju,semoga semakin adaptif terhadap perkembangan jaman dan kebutuhan pegawai,pria,37,11,0,111111
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,dibuat pola jam kerja yang terbaik meski FWS,pria,47,28,11,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Lebih cepat diimplementasikan,wanita,32,6,9,320703
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,,pria,43,19,0,
Sekretariat Jenderal,Kontrak,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Netral,Netral,Netral,Netral,Netral,Setuju,Netral,Netral,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Netral,,wanita,41,15,8,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,"Implementasi FWS saat ini sudah bagus, saya dapat lebih dekat dengan keluarga saya, lebih mengenal lingkungan tempat tinggal saya, dapat berperan aktif dalam kegiatan lingkungan tempat tinggal saya dengan tetap memenuhi target tugas yang telah ditetapkan maupun tugas tambahan.
Semoga kedepan dapat diimplemantasikan FWS dari tempat tinggal orang tua yang berada di luar kota.
Misal:
Saat ini saya berdomisili di Tengerang dan tinggal bersama istri dan anak.
Semoga kedepan saya dapat bekerja dari rumah tinggal (WFH) atau bekerja di kantor satelit yang berada di Solo atau Lampung dimana orang tua kami berada. ",pria,38,11,0,331112
